,id,name,imageUrl,thumbnailUrl,mobileImageUrl,productCount,comparable,discountedCount,childCount,children,boutique,slug,preferredDisplayStyle,promotionContentType,promotionContentId,promotionRecommendationCarouselId
148,5743,Puding és desszertporok,,,,64,False,0,0,[],False,puding-es-desszertporok,,,,
149,5744,Alapok,,,,37,False,0,0,[],False,alapok,,,,
150,5745,Egyéb hideg szószok,,,,132,False,14,0,[],False,egyeb-hideg-szoszok,,,,
151,5747,Egyéb meleg szósz,,,,12,False,0,0,[],False,egyeb-meleg-szosz,,,,
152,5749,Ketchup,,,,38,False,6,0,[],False,ketchup,,,,
153,5750,Majonéz,,,,30,False,8,0,[],False,majonez,,,,
154,5751,Mustár,,,,49,False,11,0,[],False,mustar,,,,
155,5752,Paradicsomos szósz,,,,39,False,0,0,[],False,paradicsomos-szosz,,,,
156,5753,Pesto,,,,15,False,0,0,[],False,pesto,,,,
157,5754,Salátaöntet,,,,20,False,0,0,[],False,salataontet,,,,
158,5755,Szójaszósz,,,,5,False,1,0,[],False,szojaszosz,,,,
159,5756,Torma,,,,19,False,6,0,[],False,torma,,,,
160,5767,Kis kiszerelésű gyümölcslevek,,,,50,False,0,0,[],False,kis-kiszerelesu-gyumolcslevek,,banner,1360,
161,5771,Egyéb chips,,,,31,False,6,0,[],False,egyeb-chips,,banner,1360,
162,5772,Hagymás-tejfölös chips,,,,16,False,2,0,[],False,hagymas-tejfolos-chips,,banner,1360,
163,5773,Paprikás chips,,,,7,False,1,0,[],False,paprikas-chips,,banner,1360,
164,5774,Sajtos chips,,,,9,False,2,0,[],False,sajtos-chips,,banner,1360,
165,5775,Sós chips,,,,13,False,1,0,[],False,sos-chips,,banner,1360,
166,5776,"Tortilla, nacho",,,,25,False,2,0,[],False,tortilla-nacho,,banner,1360,
167,5778,Drazsé,,,,18,False,0,0,[],False,drazse,,banner,1360,
168,5779,Egyéb cukorka,,,,6,False,0,0,[],False,egyeb-cukorka,,banner,1360,
169,5780,Gumicukorka,,,,48,False,0,0,[],False,gumicukorka,,banner,1360,
170,5781,Keménycukorka,,,,38,False,0,0,[],False,kemenycukorka,,banner,1360,
171,5783,Nyalóka,,,,10,False,0,0,[],False,nyaloka,,banner,1360,
172,5784,Puhacukorka,,,,25,False,0,0,[],False,puhacukorka,,banner,1360,
173,5785,Alkoholos desszert,,,,21,False,0,0,[],False,alkoholos-desszert,,banner,1360,
174,5786,Gyümölcsös desszert,,,,16,False,0,0,[],False,gyumolcsos-desszert,,banner,1360,
175,5787,Praliné csoki,,,,79,False,0,0,[],False,praline-csoki,,banner,1360,
176,5788,Trüffel,,,,22,False,0,0,[],False,truffel,,banner,1360,
177,5789,Válogatás,,,,15,False,1,0,[],False,valogatas,,banner,1360,
178,5791,Egyéb karácsonyi édesség,,,,87,False,0,0,[],False,egyeb-karacsonyi-edesseg,,,,
179,5793,Édes magmix,,,,4,False,0,0,[],False,edes-magmix,,banner,1360,
