,id,level,name,imageUrl,thumbnailUrl,mobileImageUrl,productCount,comparable,discountedCount,childCount,children,boutique,preferredDisplayStyle,promotionContentType,promotionContentId,slug,promotionRecommendationCarouselId
1381,12440,3.0,Fúrógépek,,,,4,False,0,0,[],False,,,,furogepek,
1382,12443,3.0,"Akkumulátoros fúró, csavarozó",,,,11,False,0,0,[],False,,,,akkumulatoros-furo-csavarozo,
1383,12446,3.0,Fúrószárak,,,,70,False,0,0,[],False,,,,furoszarak,
1384,12449,3.0,Fűrészgépek,,,,7,False,0,0,[],False,,,,fureszgepek,
1385,12452,3.0,Sarokcsiszoló,,,,7,False,0,0,[],False,,,,sarokcsiszolo,
1386,12455,3.0,"Fűrészlapok, vágókorongok",,,,22,False,5,0,[],False,,,,fureszlapok-vagokorongok,
1387,12458,3.0,Csiszoló és maró gép,,,,7,False,0,0,[],False,,,,csiszolo-es-maro-gep,
1388,12461,3.0,"Csiszoló lapok, korongok",,,,30,False,0,0,[],False,,,,csiszolo-lapok-korongok,
1389,12464,3.0,Magasnyomású mosó,,,,10,False,0,0,[],False,,,,magasnyomasu-moso,
1390,12470,3.0,Hegesztőgép,,,,2,False,0,0,[],False,,,,hegesztogep,
1391,12473,3.0,Kiegészítők és tartozékok,,,,18,False,0,0,[],False,,,,kiegeszitok-es-tartozekok,
1392,12476,3.0,Ceruza elemek,,,,30,False,0,0,[],False,,,,ceruza-elemek,
1393,12479,3.0,Bébi elemek,,,,5,False,0,0,[],False,,,,bebi-elemek,
1394,12482,3.0,Góliát elemek,,,,5,False,0,0,[],False,,,,goliat-elemek,
1395,12485,3.0,9V elemek,,,,5,False,0,0,[],False,,,,9v-elemek,
1396,12488,3.0,Gombelemek,,,,15,False,0,0,[],False,,,,gombelemek,
1397,12491,3.0,Speciális elemek,,,,8,False,0,0,[],False,,,,specialis-elemek,
1398,12494,3.0,Tölthető elemek,,,,8,False,0,0,[],False,,,,toltheto-elemek,
1399,12497,3.0,Töltők,,,,4,False,0,0,[],False,,,,toltok,
1400,12500,3.0,Zseblámpa,,,,25,False,22,0,[],False,,,,zseblampa,
1401,12503,3.0,Fali dugaljak és kapcsolók,,,,28,False,0,0,[],False,,,,fali-dugaljak-es-kapcsolok,
1402,12506,3.0,Kábelek és szerelvények,,,,29,False,5,0,[],False,,,,kabelek-es-szerelvenyek,
1403,12509,3.0,"Szerelőlámpa, reflektor",,,,13,False,6,0,[],False,,,,szerelolampa-reflektor,
1404,12512,3.0,Hálózati hosszabítók,,,,9,False,0,0,[],False,,,,halozati-hosszabitok,
1405,12515,3.0,Hálózati elosztók és adapterek,,,,56,False,4,0,[],False,,,,halozati-elosztok-es-adapterek,
1406,12518,3.0,Gyengeáramú szerelvények,,,,4,False,0,0,[],False,,,,gyengearamu-szerelvenyek,
1407,12521,3.0,Biztosítékok,,,,4,False,0,0,[],False,,,,biztositekok,
1408,12524,3.0,Időzítő kapcsolók,,,,3,False,0,0,[],False,,,,idozito-kapcsolok,
1409,12527,3.0,Kaputelefon és kapucsengő,,,,2,False,0,0,[],False,,,,kaputelefon-es-kapucsengo,
1410,12530,3.0,Biztonságtechnikai eszközök,,,,6,False,1,0,[],False,,,,biztonsagtechnikai-eszkozok,
1411,12533,3.0,"Mérőműszerek, érzékelők",,,,2,False,0,0,[],False,,,,meromuszerek-erzekelok,
1412,12539,1.0,"Bútor, világítás, dekoráció",,,https://ahuazurewebblob0.blob.core.windows.net/auchan/cache/category_mobile/category/11240380/Bu%CC%81tor%2C%20vila%CC%81gi%CC%81ta%CC%81s%2C%20dekora%CC%81cio%CC%81.png,474,False,59,6,[],False,,banner,1528.0,butor-vilagitas-dekoracio,
1413,12542,1.0,Fürdőszoba,,,https://ahuazurewebblob0.blob.core.windows.net/auchan/cache/category_mobile/category/11240434/Fu%CC%88rdo%CC%8Bszoba.png,281,False,42,2,[],False,,banner,1528.0,furdoszoba,
1414,12545,1.0,Lakástextil,,,https://ahuazurewebblob0.blob.core.windows.net/auchan/cache/category_mobile/category/11240398/Laka%CC%81stextil.png,387,False,15,4,[],False,,banner,1528.0,lakastextil,
1415,12548,1.0,Terítés és felszolgálás,,,https://ahuazurewebblob0.blob.core.windows.net/auchan/cache/category_mobile/category/11240341/Teri%CC%81te%CC%81s%20e%CC%81s%20felszolga%CC%81la%CC%81s.png,584,False,15,5,[],False,,banner,1528.0,terites-es-felszolgalas,
1416,12551,1.0,Konyha felszerelés,,,https://ahuazurewebblob0.blob.core.windows.net/auchan/cache/category_mobile/category/11240359/Konyha%20felszerele%CC%81s.png,757,False,4,4,[],False,,banner,1528.0,konyha-felszereles,
1417,12554,2.0,Világítás,,,,151,False,52,6,[],False,,banner,1528.0,vilagitas,
1418,12557,2.0,Asztalok és székek,,,,17,False,0,3,[],False,,banner,1528.0,asztalok-es-szekek,
1419,12560,2.0,Gyermek bútor,,,,2,False,0,2,[],False,,banner,1528.0,gyermek-butor,
1420,12563,2.0,"Ágyak, matracok",,,,14,False,0,2,[],False,,banner,1528.0,agyak-matracok,
1421,12566,2.0,Tároló bútorok,,,,59,False,1,5,[],False,,banner,1528.0,tarolo-butorok,
1422,12569,2.0,Lakás dekoráció,,,,231,False,6,10,[],False,,banner,1528.0,lakas-dekoracio,
1423,12572,2.0,Fürdőszoba felszerelés,,,,85,False,10,8,[],False,,banner,1528.0,furdoszoba-felszereles,
1424,12575,2.0,"Törölköző, fürdőköpeny",,,,196,False,32,3,[],False,,banner,1528.0,torolkozo-furdokopeny,
1425,12578,2.0,Ágynemű,,,,122,False,0,3,[],False,,banner,1528.0,agynemu,
1426,12581,2.0,"Paplan, párna, takaró",,,,128,False,12,4,[],False,,banner,1528.0,paplan-parna-takaro,
1427,12584,2.0,"Szőnyeg, lábtörlő",,,,69,False,2,2,[],False,,banner,1528.0,szonyeg-labtorlo,
1428,12587,2.0,Konyhai textiliák,,,,68,False,1,5,[],False,,banner,1528.0,konyhai-textiliak,
